CUI1,CUI2,REL
C0685838,C3809105,CHD
C0685838,C4015307,CHD
C0685838,C4479656,CHD
C0685838,CN074242,CHD
C0686353,C2931907,CHD
C0686353,CN043626,CHD
C0687120,C1847013,CHD
C0687120,C1855681,CHD
C0687120,C1858392,CHD
C0687120,C1865872,CHD
C0687120,C1969092,CHD
C0687120,C3150796,CHD
C0687120,C3151188,CHD
C0687120,CN119610,CHD
C0699743,C0410180,CHD
C0699743,C0457133,CHD
C0699743,C1858118,CHD
C0699743,C2750786,CHD
C0699743,C2751052,CHD
C0699743,C2936406,CHD
C0699743,CN071817,CHD
C0699743,CN117976,CHD
C0699743,CN117977,CHD
C0699790,CN029768,CHD
C0751036,C0270911,CHD
C0751036,C0270912,CHD
C0751036,C0270913,CHD
C0751036,C1843164,CHD
C0751036,C1843247,CHD
C0751036,C1861669,CHD
C0751651,C0023264,CHD
C0751651,C0268237,CHD
C0751651,C0342779,CHD
C0751651,C1328349,CHD
C0751651,C1838979,CHD
C0751651,C1839022,CHD
C0751651,C1852372,CHD
C0751651,C1855008,CHD
C0751651,C1855034,CHD
C0751651,C3151897,CHD
C0751651,CN043632,CHD
C0751882,C0393929,CHD
C0751882,C0751885,CHD
C0751882,C1837091,CHD
C0751882,C1837122,CHD
C0751882,C1850792,CHD
C0751882,C1864233,CHD
C0751882,C3502630,CHD
C0752166,C1858054,CHD
C0752166,C1859564,CHD
C0752166,C1859565,CHD
C0752166,C1859566,CHD
C0752166,C1859567,CHD
C0752166,C1859568,CHD
C0752166,C1859569,CHD
C0752166,C1859570,CHD
C0752166,C2673873,CHD
C0752166,C2673874,CHD
C0752166,C2936862,CHD
C0752166,C2936863,CHD
C0752166,C2936864,CHD
C0752166,C3150127,CHD
C0752166,C3889474,CHD
C0752166,C3892039,CHD
C0795949,C4538784,CHD
C0795949,C4540266,CHD
C0795949,C4540270,CHD
C0795949,C4540274,CHD
C0795949,CN031715,CHD
C0796126,C3150315,CHD
C0878544,C0007193,CHD
C0878544,C0349788,CHD
C0878544,C0949658,CHD
C0878681,C1845167,CHD
C0878681,C1848336,CHD
C0919267,C0677886,CHD
C0919267,C1333992,CHD
C0949658,C1833236,CHD
C0949658,C1834460,CHD
C0949658,C1837471,CHD
C0949658,C1860752,CHD
C0949658,C1861065,CHD
C0949658,C1861862,CHD
C0949658,C1861863,CHD
C0949658,C1861864,CHD
C0949658,C2677491,CHD
C0949658,C2677506,CHD
C0949658,C2750459,CHD
C0949658,C2750467,CHD
C0949658,C2750472,CHD
C0949658,C3151204,CHD
C0949658,C3151264,CHD
C0949658,C3151265,CHD
C0949658,C3151266,CHD
C0949658,C3151267,CHD
C0949658,C3495498,CHD
C0949658,C3553442,CHD
C0949658,C4016270,CHD
C0969687,C0013080,CHD
C0969687,C0152095,CHD
C0969687,C0152096,CHD
C0969687,C0265479,CHD
C0969687,C0432412,CHD
C0969687,C0795807,CHD
C0969687,C0795849,CHD
C0969687,C2931575,CHD
C1112429,C2930924,CHD
C1142166,C2673193,CHD
C1142166,C2678477,CHD
C1142166,C2678478,CHD
C1142166,C2748541,CHD
C1142166,C2751083,CHD
C1142166,C2751088,CHD
C1142166,C2751089,CHD
C1142166,CN029323,CHD
C1260899,C0265265,CHD
C1260899,C1857719,CHD
C1260899,C2675511,CHD
C1260899,C2675512,CHD
C1260899,C2675859,CHD
C1260899,C2675860,CHD
C1260899,C2676137,CHD
C1260899,C2750080,CHD
C1260899,C2750081,CHD
C1261175,C1842687,CHD
C1261175,C1843504,CHD
C1261175,C1856974,CHD
C1261175,C1857762,CHD
C1261175,C1969084,CHD
C1261175,C2932714,CHD
C1263739,C0024776,CHD
C1263739,C0268575,CHD
C1263739,C0268579,CHD
C1263739,C0268583,CHD
C1263739,C0268595,CHD
C1263739,C0268600,CHD
C1263739,C0268601,CHD
C1263739,C1536500,CHD
C1263739,C1848561,CHD
C1328840,C1846545,CHD
C1328840,C1858968,CHD
C1328840,C1866119,CHD
C1328840,C1866120,CHD
C1328840,C1866121,CHD
C1328840,C2674723,CHD
C1333990,C0265325,CHD
C1333990,C1321489,CHD
C1333990,C1333991,CHD
C1333990,C1833477,CHD
C1333990,C1838333,CHD
C1333990,C1858380,CHD
C1333990,C1860896,CHD
C1333990,C2750471,CHD
C1333990,C2936783,CHD
C1449844,C1840390,CHD
C1449844,C1840391,CHD
C1449844,C3469605,CHD
C1449844,C3469606,CHD
C1458155,C0346153,CHD
C1458155,C0858252,CHD
C1510586,C0004352,CHD
C1510586,C0236792,CHD
C1510586,C1836271,CHD
C1510586,C1842632,CHD
C1510586,C1845336,CHD
C1510586,C1845539,CHD
C1510586,C1853755,CHD
C1510586,C1968924,CHD
C1510586,C1969710,CHD
C1510586,C1970807,CHD
C1510586,CN072151,CHD
C1512419,C1835044,CHD
C1512419,C1835047,CHD
C1512419,C1836892,CHD
C1512419,C1842643,CHD
C1512419,C2677089,CHD
C1512419,C2751295,CHD
C1512419,C3151417,CHD
C1512419,C3152204,CHD
C1512419,C3554574,CHD
C1567741,C1567742,CHD
C1567741,C1567743,CHD
C1567741,C1567744,CHD
C1568247,C1832845,CHD
C1568247,C1847089,CHD
C1568247,C1848604,CHD
C1568247,C1848638,CHD
C1568247,C1865865,CHD
C1568247,C1865885,CHD
C1568247,C2675458,CHD
C1706004,C0162359,CHD
C1706004,CN118829,CHD
C1708353,C1854336,CHD
C1708353,C1861848,CHD
C1708353,C1866552,CHD
C1708353,C1868633,CHD
C1708353,C3279992,CHD
C1720189,C1719788,CHD
C1720189,C1720416,CHD
C1720189,C1847839,CHD
C1720189,C1847843,CHD
C1720189,C1866039,CHD
C1720189,C2675211,CHD
C1720189,C2677843,CHD
C1827409,C1837156,CHD
C1827409,C1837157,CHD
C1832200,C0043459,CHD
C1832200,C0282525,CHD
C1832200,C0282527,CHD
C1832200,C1859228,CHD
C1832200,C3539168,CHD
C1832200,C3542026,CHD
C1832200,C3553929,CHD
C1832200,C3553936,CHD
C1832200,C3553937,CHD
C1832200,C3553940,CHD
C1832200,C3553947,CHD
C1832200,C3553948,CHD
C1832200,C3553951,CHD
C1832200,C3553959,CHD
C1832200,C3553960,CHD
C1832200,C3553999,CHD
C1832200,C3554000,CHD
C1832200,C3554001,CHD
C1832200,C3554002,CHD
C1832200,C3554004,CHD
C1832200,C3554055,CHD
C1832200,CN159238,CHD
C1832200,CN168921,CHD
C1833021,C0043207,CHD
C1833021,CN184629,CHD
C1833021,CN184630,CHD
C1833104,C1838655,CHD
C1833104,C1850096,CHD
C1833104,C1864623,CHD
C1836694,C4310791,CHD
C1836694,C4310808,CHD
C1838604,C1843244,CHD
C1842675,C2750729,CHD
C1847501,C1832855,CHD
C1847501,C1842534,CHD
C1847501,CN030711,CHD
C1848638,C1848604,CHD
C1850343,C3279843,CHD
C1850343,C4539839,CHD
C1850343,CN031748,CHD
C1850451,C0268281,CHD
C1850778,C0393697,CHD
C1850778,C1837308,CHD
C1850778,C1969656,CHD
C1850778,C2749942,CHD
C1850778,C2750887,CHD
C1850778,C2750888,CHD
C1850778,C2750894,CHD
C1850778,C2751604,CHD
C1850778,C2751729,CHD
C1851970,C3151443,CHD
C1851970,C3151445,CHD
C1851970,C3808802,CHD
C1853118,C1845987,CHD
C1853118,C1859966,CHD
C1853118,C2675526,CHD
C1853118,C2751288,CHD
C1853118,C2751630,CHD
C1853118,C3809031,CHD
C1853118,C4014954,CHD
C1853118,CN032247,CHD
C1855923,C3280153,CHD
C1855923,C3553637,CHD
C1855923,C3810354,CHD
C1855923,C4014958,CHD
C1855923,C4225201,CHD
C1855923,CN030519,CHD
C1859806,C2748571,CHD
C1860042,C2936791,CHD
C1860042,CN118849,CHD
C1864623,C1853564,CHD
C1868598,C1835980,CHD
C1868598,C1865044,CHD
C1868598,C1868599,CHD
C1868672,CN043612,CHD
C1868672,CN043613,CHD
C1868720,C1842562,CHD
C1868720,C1842563,CHD
C1868720,C1848213,CHD
C1868720,C2752071,CHD
C1955869,C0266463,CHD
C1955869,C1848201,CHD
C1959582,C0085261,CHD
C1959582,C0265326,CHD
C1959582,C1866398,CHD
C1959582,CN072330,CHD
C1970035,C1853833,CHD
C1970808,C0751037,CHD
C1997910,C1853942,CHD
C1997910,C1863844,CHD
C2079538,C1836485,CHD
C2079538,C1861678,CHD
C2348199,C1865018,CHD
C2348199,C1865019,CHD
C2348199,C1865020,CHD
C2675526,C2751630,CHD
C2678065,C1832370,CHD
C2678065,C1836050,CHD
C2678065,C1836155,CHD
C2678065,C1836607,CHD
C2678065,C1837317,CHD
C2678065,C2751831,CHD
C2697932,C2674876,CHD
C2697932,C2697933,CHD
C2697932,C3151087,CHD
C2697932,C3553762,CHD
C2700265,C1837203,CHD
C2700265,C1838447,CHD
C2700265,C1847722,CHD
C2700265,C1860339,CHD
C2700265,C2700405,CHD
C2700405,CN069052,CHD
C2700405,CN069053,CHD
C2713442,C0017097,CHD
C2713442,C0265325,CHD
C2713442,C2674616,CHD
C2750389,CN078000,CHD
C2750389,CN184128,CHD
C2750389,CN184129,CHD
C2919945,C1366911,CHD
C2919945,C1864040,CHD
C2919945,C1864041,CHD
C2919945,CN119550,CHD
C2931687,C1850808,CHD
C2931687,C1850889,CHD
C2931788,C1969906,CHD
C2931788,C2749604,CHD
C2931788,C2752036,CHD
C2931788,C2752037,CHD
C2931788,C2752038,CHD
C2931788,C2752039,CHD
C2931788,C2752040,CHD
C2931788,CN036211,CHD
C2931907,C0270968,CHD
C2931907,C0457133,CHD
C2931907,C1837342,CHD
C2931907,C1847759,CHD
C2931907,C1866008,CHD
C2931907,C1869123,CHD
C2931907,C1969785,CHD
C2931907,C2751052,CHD
C2931907,C2931687,CHD
C2931907,C2936331,CHD
C2931907,C3150989,CHD
C2931907,C3151184,CHD
C2931907,C3809236,CHD
C2932714,C1848526,CHD
C2932714,C1856974,CHD
C2932714,C2676465,CHD
C2932714,C2676466,CHD
C2932714,C3151140,CHD
C2936331,C0410173,CHD
C2936331,C2930900,CHD
C2936331,C2936332,CHD
C2936331,CN072428,CHD
C2936406,C0410174,CHD
C2936406,C1847759,CHD
C2936406,C3150413,CHD
C2936406,C3809216,CHD
C2936406,CN033898,CHD
C2936420,C2748895,CHD
C2936420,C2749215,CHD
C2936420,C3151782,CHD
C2936694,C1848296,CHD
C2936694,C1856273,CHD
C2936694,C2748896,CHD
C2936694,C2751317,CHD
C2936694,C2751824,CHD
C2936694,C2752149,CHD
C2936694,C3151064,CHD
